spkid	Minor Planet Center body ID	full_name	Label full_name	named after	Description named_after	instance of named after	instance of instance of	subclass of instance of	author	country	coordinate location	taxon rank	date of birth	date of death	country of citizenship	occupation	sex or gender	name	diameter	first_obs
						Greek deity		deity												
								mythological Greek character												
20000041	41	41 Daphne	41 Daphne	Daphne	Greek mythological figure	naiad	group of Greek mythical characters	Greek nymph								hunter	female	Daphne	205.495	1866-07-13
								waterwoman												
20000042	42	42 Isis	42 Isis	Isis Pogson	British astronomer and meteorologist.	human	organisms known by a particular common name	mammal					1852-09-28T00:00:00Z	1945-05-14T00:00:00Z	United Kingdom of Great Britain and Ireland	astronomer	female	Isis	110.997	1856-06-20
								person								meteorologist				
								individual animal												
								omnivore												
								natural person												
20000043	43	43 Ariadne	43 Ariadne	Ariadne	the daughter of Minos in Greek mythology	mythological Greek character		mythical character									female	Ariadne	71.340	1864-08-03
20000044	44	44 Nysa	44 Nysa	Nysa	mountainous district	fictional mountain	class of fictional entities	fictional landform										Nysa	70.64	1864-03-02
20000045	45	45 Eugenia	45 Eugenia	Eugénie de Montijo	consort of Napoleon III, Emperor of the French (1826–1920)	human	organisms known by a particular common name	mammal					1826-05-05T00:00:00Z	1920-07-11T00:00:00Z	France	consort	female	Eugenia	202.327	1866-05-19
								person							Spain					
								individual animal												
								omnivore												
								natural person												
20000046	46	46 Hestia	46 Hestia	Hestia	Greek goddess	Greek deity		deity									female	Hestia	131.471	1864-04-05
								mythological Greek character												
						household deity		tutelary spirit												
								household deity or spirit												
								deity												
						Olympian god		Greek deity												
20000047	47	47 Aglaja	47 Aglaja	Aglaea	one of the Graces (Charites) in Greek mythology	Greek deity		deity									female	Aglaja	168.174	1860-02-24
								mythological Greek character												
20000048	48	48 Doris	48 Doris	Doris	Oceanid of Greek mythology	Okeanid	group of Greek mythical characters	Greek water deities									female	Doris	216.473	1860-02-27
								Greek nymph												
								Oceanids												
						water deity		nature deity												
								water spirit												
20000049	49	49 Pales	49 Pales	Pales	Roman divinity	Roman deity		deity										Pales	166.252	1863-11-20
								mythological Roman character												
20000050	50	50 Virginia	50 Virginia	Verginia	5th-century BC Roman heroine	human whose existence is disputed		character that may or may not be fictional					0460-01-01T00:00:00Z	0449-01-01T00:00:00Z	Ancient Rome		female	Virginia	84.074	1857-10-20
								person												
								fictional human												
20000051	51	51 Nemausa	51 Nemausa	Nemausus	ancient Roman city replaced by Nîmes	ancient city		city		Ancient Rome	43.83777778,4.36083333							Nemausa	138.159	1863-09-12
								former settlement												
								archaeological site												
						archaeological site		location of discovery			43.83777778,4.36083333									
								human-geographic territorial entity												
								geographic location												
						Gallo-Roman city	ancient city	Roman city												
							Roman city	history of ancient Rome												
						colonia augusta		Roman colony												
								Roman city												
				Nîmes	city and prefecture of the Gard department in the Occitanie region of Southern France	commune of France	type of French administrative division	territorial collectivity of France		France	43.83833333333333,4.3597222222222225									
								LAU 2												
								municipality												
								fourth-level administrative division												
								fifth-level administrative division												
								commune												
								electoral unit												
						big city	classification of human settlements	city												
20000052	52	52 Europa	52 Europa	Europa	Phoenician character in Greek mythology, daughter of Agenor	mythological Greek character		mythical character									female	Europa	303.918	1860-07-09
						fictional human	class of fictional entities	fictional primate												
								fictional person												
								fictional humanoid												
								imaginary human												
20000053	53	53 Kalypso	53 Kalypso	Calypso	Oceanid of Greek mythology	Okeanid	group of Greek mythical characters	Greek water deities									female	Kalypso	97.262	1866-01-01
								Greek nymph												
								Oceanids												
						Greek nymph		Greek deity												
								nymph												
20000054	54	54 Αλεξάνδρα		Alexander von Humboldt	Prussian geographer, naturalist and explorer (1769–1859)	human	organisms known by a particular common name	mammal					1769-09-14T00:00:00Z	1859-05-06T00:00:00Z	Kingdom of Prussia	geologist	male	Alexandra	160.120	1996-05-23
								person								explorer				
								individual animal								botanist				
								omnivore								geographer				
								natural person								chamberlain				
																oceanographer				
																demographer				
																volcanologist				
																travel writer				
																science writer				
																meteorologist				
																polymath				
																patron of the arts				
																zoologist				
																naturalist				
																mineralogist				
																astronomer				
																climatologist				
																ethnologist				
																botanical collector				
																ornithologist				
																world traveler				
																economist				
																politician				
																cartographer				
20000055	55	55 Pandora	55 Pandora	Pandora	mythological figure	mythological Greek character		mythical character									female	Pandora	84.794	1876-08-07
						literary character	type of fictional character	character												
						protoplast	hypothesis	human whose existence is disputed												
								mythical character												
								legendary progenitor												
20000056	56	56 Melete	56 Melete	Melete	one of the three original Boeotian Muses in Greek mythology	mythological Greek character		mythical character									female	Melete	121.333	1865-06-13
20000057	57	57 Mnemosyne	57 Mnemosyne	Mnemosyne	personification of memory in Greek mythology	titan	mythical humanoid race	Greek deity									female	Mnemosyne	112.59	1859-12-22
								giant												
						goddess	fictional religious occupation	deity												
20000058	58	58 Concordia	58 Concordia	Concordia	goddess in ancient Roman religion	Roman deity		deity									female	Concordia	106.517	1864-02-09
								mythological Roman character												
20000059	59	59 Elpis	59 Elpis	Elpis	Greek mythological personification and spirit of hope	mythological Greek character		mythical character									male	Elpis	165.119	1865-12-09
						Greek deity		deity												
								mythological Greek character												
20000060	60	60 Echo	60 Echo	Echo	mountain nymph of Greek mythology	Oread	group of Greek mythical characters	Greek nymph									female	Echo	43.218	1861-01-01
20000061	61	61 Danaë	61 Danaë	Danaë	daughter of Acrisius of Argos and Queen Eurydice, mother of Perseus, in Greek mythology	mythological Greek character		mythical character									female	Danae	85.937	1865-08-27
20000062	62	62 Erato	62 Erato	Erato	Greek muse of lyrical poetry	mythological Greek character		mythical character									female	Erato	106.921	1906-01-24
20000063	63	63 Αυσονία		Ausonia	ancient Greek name for lower Italy						40.916666666666664,14.733333333333333							Ausonia	116.044	1861-03-01
20000064	64	64 Angelina	64 Angelina															Angelina	58.292	1861-03-08
20000065	65	65 Cybele	65 Cybele	Cybele	Anatolian mother goddess	Greek deity		deity									female	Cybele	237.26	1861-03-12
								mythological Greek character												
						goddess	fictional religious occupation	deity												
						Roman deity		deity												
								mythological Roman character												
20000066	66	66 Maja	66 Maja	Maia	Pleiad and mother of Hermes	Pleiades	sibling group	Greek nymph									female	Maja	71.82	1861-04-10
							group of Greek mythical characters													
20000067	67	67 Asia	67 Asia	Asia	Oceanid of Greek mythology	Okeanid	group of Greek mythical characters	Greek water deities									female	Asia	56.309	1864-03-02
								Greek nymph												
								Oceanids												
20000068	68	68 Leto	68 Leto	Leto	Greek mythological figure and mother of Apollo and Artemis	titan	mythical humanoid race	Greek deity									female	Leto	122.509	1863-11-30
								giant												
20000069	69	69 Hesperia	69 Hesperia	Hesperia	Greek term for "western country", referring to Italy	geographical feature		geographic entity										Hesperia	138.13	1861-04-29
20000070	70	70 Panopaea	70 Panopaea	Panopea	water deity	mythological Greek character		mythical character									female	Panopaea	127.911	1866-09-19
20000071	71	71 Νιόβη		Niobe	mythological figure, daughter of Tantalus	mythological Greek character		mythical character		Turkey							female	Niobe	83.42	1864-01-14
20000072	72	72 Feronia	72 Feronia	Feronia	italic goddess of wilderness and liberty	Etruscan deity		deity									female	Feronia	74.966	1865-06-23
								Italic divinity												
						Sabine deity		deity												
								Italic divinity												
						Roman deity		deity												
								mythological Roman character												
						nature deity		deity												
20000073	73	73 Klytia	73 Klytia	Clytie	Oceanid of Greek mythology	Okeanid	group of Greek mythical characters	Greek water deities									female	Klytia	44.590	1864-10-02
								Greek nymph												
								Oceanids												
						Greek nymph		Greek deity												
								nymph												
20000074	74	74 Galatea	74 Galatea	Galatea	nereid from Greek mythology	mythological Greek character		mythical character									female	Galatea	118.71	1864-01-30
20000075	75	75 Eurydike	75 Eurydike	Eurydice	oak nymph, or daughter of Apollo and wife of Orpheus	dryad	group of Greek mythical characters	Epigean									female	Eurydike	62.377	1864-02-02
								tree spirit												
								Greek nymph												
20000076	76	76 Freia	76 Freia	Freyja	goddess associated with love, beauty, fertility, sex, war, gold, and seiðr in Norse mythology	Norse deity		Norse mythical character									female	Freia	145.423	1864-04-06
								deity												
						fertility deity		deity												
						war deity		deity												
						goddess	fictional religious occupation	deity												
						love deity		deity												
20000077	77	77 Frigga	77 Frigga	Frigg	Norse deity	Norse deity		Norse mythical character									female	Frigga	61.390	1879-07-18
								deity												
						goddess	fictional religious occupation	deity												
20000078	78	78 Ντιάνα		Diana	goddess of the hunt, the moon and birthing, equated with the Greek goddess Artemis	Roman deity		deity								hunter	female	Diana	120.60	1863-04-10
								mythological Roman character												
						epithet	stylistic device	description								archer				
20000079	79	79 Ευρυνόμη		Eurynome	Oceanid of Greek mythology	Okeanid	group of Greek mythical characters	Greek water deities									female	Eurynome	63.479	1863-10-05
								Greek nymph												
								Oceanids												
						water deity		nature deity												
								water spirit												
20000080	80	80 Sappho	80 Sappho	Sappho	ancient Greek poet from Lesbos (c. 630-c. 570 BC)	human	organisms known by a particular common name	mammal					0650-01-01T00:00:00Z	0570-01-01T00:00:00Z	Mytilene	poet	female	Sappho	68.563	1865-10-08
								person								composer				
								individual animal								author				
								omnivore								writer				
								natural person												
20000081	81	81 Terpsichore	81 Terpsichore	Terpsichore	muse of dance in Greek mythology	mythological Greek character		mythical character									female	Terpsichore	117.727	1864-11-19
20000082	82	82 Alkmene	82 Alkmene	Alkmene	mother of Heracles	mythological Greek character		mythical character									female	Alkmene	57.621	1864-12-05
20000083	83	83 Βεατρίκη		Beatrice Portinari	Dante's muse	human	organisms known by a particular common name	mammal					1266-01-01T00:00:00Z	1290-01-01T00:00:00Z	Republic of Florence	aristocrat	female	Beatrix	110.503	1865-05-13
								person												
								individual animal												
								omnivore												
								natural person												
				Beatrice	character in Dante Alighieri's La Vita Nuova and the Divine Comedy	fictional human	class of fictional entities	fictional primate									female			
								fictional person												
								fictional humanoid												
								imaginary human												
						literary character	type of fictional character	character												
20000084	84	84 Klio	84 Klio	Clio	Greek mythological person, muse of history or of lyre playing, daughter of Zeus and the Titaness Mnemosyne	mythological Greek character		mythical character									female	Klio	79.16	1865-08-25
20000085	85	85 Io	85 Io															Io	154.79	1865-09-21
20000086	86	86 Σεμέλη		Semele	mother of Dionysus in Greek mythology	mythological Greek character		mythical character									female	Semele	109.929	1871-12-29
20000087	87	87 Sylvia	87 Sylvia	Rhea Silvia	mother of Romulus and Remus	legendary human figure		legendary figure						0800-01-01T00:00:00Z	Alba Longa	priestess	female	Sylvia	253.051	1885-05-05
								human whose existence is disputed												
20000088	88	88 Θίσβη		Thisbe	daughter of Termessus in Greek mythology	Greek nymph		Greek deity									female	Thisbe	232	1866-06-21
								nymph												
20000089	89	89 Julia	89 Julia	Julia of Corsica	Carthaginian Christian martyred on Corsica	human	organisms known by a particular common name	mammal					0420-01-01T00:00:00Z	0450-01-01T00:00:00Z	Ancient Rome		female	Julia	145.483	1866-08-07
								person												
								individual animal												
								omnivore												
								natural person												
20000090	90	90 Antiope	90 Antiope															Antiope	115.974	1866-10-01
20000091	91	91 Aegina	91 Aegina	Aegina	Greek island of the Saronic Gulf	island	place type	landform		Greece	37.73,23.49							Aegina	103.402	1866-11-10
								landmass												
								geographic location												
								physical location												
				Aegina	nymph, eponym of the island Aegina	Greek nymph		Greek deity									female			
								nymph												
20000092	92	92 Undina	92 Undina	Undine	novella by Friedrich de la Motte Fouqué	literary work		written work										Undina	126.42	1871-03-09
								creative work												
								type of work												
				undine	elemental beings associated with water	water spirit		elemental												
								spirit of nature												
								tutelary spirit												
20000093	93	93 Minerva	93 Minerva	Minerva	Roman goddess of wisdom and sponsor of arts, trade, and defense	goddess	fictional religious occupation	deity									female	Minerva	154.155	1870-02-25
						war deity		deity												
						Roman deity		deity												
								mythological Roman character												
20000094	94	94 Aurora	94 Aurora	Aurora	goddess of dawn in Roman mythology	Roman deity		deity									female	Aurora	204.89	1872-07-26
								mythological Roman character												
						solar deity		deity												
								personification												
20000095	95	95 Arethusa	95 Arethusa	Arethusa	nymph in Greek mythology who fled from the river god Alpheus	Greek nymph		Greek deity									female	Arethusa	147.969	1872-09-23
								nymph												
20000096	96	96 Aegle	96 Aegle	Aegle	name of several different figures in Greek mythology	set of mythological Greek characters		Wikimedia set index article										Aegle	177.774	1868-02-20
				Aegle	Greek mythical character, Hesperid	mythological Greek character		mythical character									female			
20000097	97	97 Klotho	97 Klotho	Clotho	one of the Fates of Greek mythology	Greek deity		deity									female	Klotho	100.717	1870-07-23
								mythological Greek character												
20000098	98	98 Ianthe	98 Ianthe	Ianthe	Cretan girl who married Iphis in Ovid's Metamorphoses	mythological Greek character		mythical character									female	Ianthe	132.788	1870-10-17
20000099	99	99 Dike	99 Dike	Dike	Greek goddess of law and justice	Greek deity		deity									female	Dike	67.354	1915-01-20
								mythological Greek character												
						allegorical Greek deity		Greek deity												
								allegory												
20000100	100	100 Hekate	100 Hekate	Hecate	Greek goddess	goddess	fictional religious occupation	deity									female	Hekate	85.734	1871-01-15
						Greek deity		deity												
								mythological Greek character												
						lunar deity		deity												
								personification												
20000101	101	101 Ελένη		Helen of Troy	daughter of Zeus in Greek mythology	mythological Greek character		mythical character									female	Helena	65.84	1871-03-22
						legendary progenitor		progenitor												
								legendary figure												
20000102	102	102 Miriam	102 Miriam	Miriam	sister of Moses and Aaron	human biblical figure	class of human	biblical character					1400-01-01T00:00:00Z	1274-01-01T00:00:00Z		prophet	female	Miriam	82.595	1870-01-28
								human whose existence is disputed												
20000103	103	103 Hera	103 Hera	Hera	Greek goddess, wife and sister of Zeus	Greek deity		deity									female	Hera	83.908	1871-04-04
								mythological Greek character												
						fertility deity		deity												
						Olympian god		Greek deity												
20000104	104	104 Klymene	104 Klymene															Klymene	136.553	1885-09-16
20000105	105	105 Artemis	105 Artemis	Artemis	goddess of the hunt and the wild in ancient Greek religion and mythology	Olympian god		Greek deity								hunter	female	Artemis	94.864	1904-06-18
						Greek deity		deity								archer				
								mythological Greek character												
						lunar deity		deity												
								personification												
20000106	106	106 Dione	106 Dione	Dione	Greek goddess, mother of Aphrodite	titan	mythical humanoid race	Greek deity									female	Dione	207.869	1871-03-16
								giant												
						water deity		nature deity												
								water spirit												
20000107	107	107 Camilla	107 Camilla	Camilla	mythical character, warrior woman in the Aeneid, queen of the Volsci	mythological Roman character		mythical character									female	Camilla	210.370	1868-12-05
20000108	108	108 Hecuba	108 Hecuba	Hecuba	spouse of king Priam	mythological Greek character		mythical character							Troy	queen	female	Hecuba	75.498	1880-01-26
20000109	109	109 Felicitas	109 Felicitas	Felicitas	divinity in ancient Roman culture	Roman deity		deity									female	Felicitas	82.588	1996-05-28
								mythological Roman character												
						personification	stylistic device	artistic theme												
								abstract being												
								figure of speech												
						goddess	fictional religious occupation	deity												
20000110	110	110 Lydia	110 Lydia	Lydia	Iron Age kingdom and then province in Asia Minor	historical country		former administrative territorial entity		Turkey	40,30							Lydia	86.09	1994-11-04
								historical administrative division												
						realm		state												
								territory												
						historical region		region												
								former geographical object												
								historical geographic location												
								administrative territorial entity												
20000111	111	111 Ate	111 Ate	Atë	ancient Greek goddess of mischief	allegorical Greek deity		Greek deity									female	Ate	126.344	1870-08-15
								allegory												
20000112	112	112 Iphigenia	112 Iphigenia	Iphigenia	daughter of Agamemnon in Greek mythology	mythological Greek character		mythical character									female	Iphigenia	69.818	1870-09-21
20000113	113	113 Amalthea	113 Amalthea	Amalthea	Oceanid of Greek mythology	Okeanid	group of Greek mythical characters	Greek water deities									female	Amalthea	50.137	1871-03-12
								Greek nymph												
								Oceanids												
20000114	114	114 Kassandra	114 Kassandra	Cassandra	mythological prophetess and princess of Troy	mythological Greek character		mythical character									female	Kassandra	94.178	1902-09-03
20000115	115	115 Thyra	115 Thyra	Thyra	Viking Age Danish queen	human	organisms known by a particular common name	mammal					0900-01-01T00:00:00Z	0958-01-01T00:00:00Z	Kingdom of Denmark		female	Thyra	79.83	1872-12-25
								person												
								individual animal												
								omnivore												
								natural person												
20000116	116	116 Sirona	116 Sirona	Sirona	Celtic healing deity associated with healing springs	water deity		nature deity									female	Sirona	71.70	1872-12-23
								water spirit												
						Celtic deity		deity												
20000117	117	117 Lomia	117 Lomia	Lamia	daughter of Poseidon in Greek mythology	mythological serpent	cultural depiction	mythical animal									female	Lomia	208.974	1876-08-16
								human uses of reptiles												
						mythological Greek character		mythical character												
20000118	118	118 Peitho	118 Peitho	Peitho	Oceanid of Greek mythology, personification of Persuasion	Okeanid	group of Greek mythical characters	Greek water deities									female	Peitho	40.211	1872-03-22
								Greek nymph												
								Oceanids												
20000119	119	119 Althaea	119 Althaea	Althaea	mythical daughter of Thestius	mythological Greek character		mythical character									female	Althaea	57.30	1872-04-13
20000120	120	120 Λάχεσις		Lachesis	one of the Fates of Greek Mythology	Greek deity		deity									female	Lachesis	155.132	1872-04-25
								mythological Greek character												
20000121	121	121 Hermione	121 Hermione	Hermione	daughter of Menelaus and Helen of Troy	mythological Greek character		mythical character									female	Hermione	209.00	1872-06-07
20000122	122	122 Γκέρντα		Gerðr	Norse deity; giantess	Norse deity		Norse mythical character									female	Gerda	70.676	1872-08-01
								deity												
						giantess		giant												
						goddess	fictional religious occupation	deity												
20000123	123	123 Βρουνχίλδη		Brynhild	Valkyrie in Norse heroic legend	valkyrie	war deity	Norse mythical character									female	Brunhild	45.209	1872-08-02
20000124	124	124 Άλκηστις		Alcestis	daughter of Pelias in Greek mythology	mythological Greek character		mythical character									female	Alkeste	88.648	1872-08-24
20000125	125	125 Liberatrix	125 Liberatrix	liberation of France 1870-71	event	occurrence		occurrent		France								Liberatrix	48.418	1872-10-01
20000126	126	126 Βελέδα		Veleda	1st century seeress of the Bructeri, a Germanic people	human	organisms known by a particular common name	mammal					0050-01-01T00:00:00Z	0100-01-01T00:00:00Z		seer	female	Velleda	44.82	1872-11-26
								person								oracle				
								individual animal								priest				
								omnivore												
								natural person												
20000127	127	127 Johanna	127 Johanna	Joan of Arc	French folk heroine (1412–1431), military leader who crowned Charles VII and Roman Catholic saint, canonized 500 years after her death	human	organisms known by a particular common name	mammal					1412-01-01T00:00:00Z	1431-05-30T00:00:00Z	Kingdom of France	military personnel	female	Johanna	122	1893-05-04
								person												
								individual animal												
								omnivore												
								natural person												
20000128	128	128 Nemesis	128 Nemesis	Nemesis	goddess of Greek mythology	Okeanid	group of Greek mythical characters	Greek water deities									female	Nemesis	162.515	1872-11-26
								Greek nymph												
								Oceanids												
						Greek deity		deity												
								mythological Greek character												
20000129	129	129 Antigone	129 Antigone	Antigone	mythical daughter of Oedipus and Jocasta	mythological Greek character		mythical character							Thebes		female	Antigone	113	1876-12-07
20000130	130	130 Elektra	130 Elektra	Elektra	daughter of Agamemnon	mythological Greek character		mythical character									female	Elektra	180.652	1893-11-14
20000131	131	131 Βάλα		seeress	female shaman of Germanic culture and mythology said to have the ability to foretell future occurrences	Norse mythical character		Norse mythical entity										Vala	31.337	1873-05-30
								mythical character												
						occupation	second-order class	social position												
							concept													
20000132	132	132 Aethra	132 Aethra	Aethra	mother of Theseus	mythological Greek character		mythical character									female	Aethra	42.87	1873-06-14
20000133	133	133 Κυρήνη		Cyrene	nymph, mother of Aristaeus by Apollo	mythological Greek character		mythical character									female	Cyrene	72.175	1873-08-17
20000134	134	134 Sophrosyne	134 Sophrosyne	Sophrosyne	ancient Greek concept of an ideal of excellence of character and soundness of mind	virtue	concept	moral quality										Sophrosyne	108	1877-09-10
							pattern of behavior													
							type of value													
20000135	135	135 Hertha	135 Hertha	Nerthus	goddess associated with fertility in Germanic paganism	goddess	fictional religious occupation	deity									female	Hertha	79.24	1875-08-01
